,ds,y
0,2010-01-10,42219781.679999925
1,2010-02-04,50423831.260000035
2,2010-02-07,48917484.50000017
3,2010-03-09,47194257.61
4,2010-03-12,49909027.88000007
5,2010-04-06,50188543.119999915
6,2010-05-02,49750740.49999988
7,2010-05-03,46871470.3
8,2010-05-11,45781981.89
9,2010-06-08,48204999.11999994
10,2010-07-05,48503243.51999991
11,2010-08-10,45102974.229999974
12,2010-09-04,47365290.440000035
13,2010-09-07,47899529.37000009
14,2010-10-09,45634397.840000056
15,2010-10-12,55666770.389999814
16,2010-11-06,47826546.72000009
17,2010-12-02,48336677.63000006
18,2010-12-03,45925396.50999998
19,2010-12-11,46124800.829999916
20,2011-01-04,43458991.190000035
21,2011-01-07,47578519.50000006
22,2011-02-09,45376623.26999996
23,2011-02-12,49390556.4899999
24,2011-03-06,48771994.18000002
25,2011-04-02,46153111.12
26,2011-04-03,46980603.73999991
27,2011-04-11,48655544.3000002
28,2011-05-08,48015466.97000004
29,2011-06-05,46861958.2900002
30,2011-07-01,42775787.76999989
31,2011-07-10,47211688.36000014
32,2011-08-04,45887466.799999945
33,2011-08-07,47859263.78
34,2011-09-09,46763227.53000005
35,2011-09-12,55561147.70000017
36,2011-10-06,47669734.66000002
37,2011-11-02,47336192.78999979
38,2011-11-03,44627319.39999998
39,2011-11-11,48474224.75000006
40,2011-12-08,46249569.2100001
41,2012-01-06,48281649.72000005
42,2012-02-03,46861034.97000005
43,2012-03-02,46085608.08999996
44,2012-03-08,47485899.55999997
45,2012-04-05,47124197.930000074
46,2012-05-10,47566639.310000025
47,2012-06-01,44955421.950000025
48,2012-06-04,53502315.87
49,2012-06-07,51253021.87999992
50,2012-07-09,48330059.30999995
51,2012-08-06,49651171.78000006
52,2012-09-03,47480454.110000014
53,2012-10-02,50009407.91999999
54,2012-10-08,47403451.04000004
55,2012-11-05,46925878.99000018
56,2012-12-10,46128514.250000045
57,13/01/2012,42023078.47999996
58,13/04/2012,46629261.409999974
59,13/05/2011,45446144.81999999
60,13/07/2012,46099732.099999964
61,13/08/2010,46464418.40999996
62,14/01/2011,40673678.039999954
63,14/05/2010,45330080.19999999
64,14/09/2012,44226038.6499999
65,14/10/2011,44374820.29999992
66,15/04/2011,44973328.14000003
67,15/06/2012,48412110.70000001
68,15/07/2011,45515929.91999994
69,15/10/2010,43149473.45000014
70,16/03/2012,46901504.940000065
71,16/04/2010,45183667.080000006
72,16/07/2010,46243899.57999996
73,16/09/2011,43793960.07999998
74,16/12/2011,60085695.93999998
75,17/02/2012,50197056.95999993
76,17/06/2011,47447561.77000003
77,17/08/2012,47354452.05000001
78,17/09/2010,43080726.50999983
79,17/12/2010,61820799.85
80,18/02/2011,48716164.119999975
81,18/03/2011,44872325.97000003
82,18/05/2012,46823939.22000004
83,18/06/2010,47622046.22999998
84,18/11/2011,46438980.559999995
85,19/02/2010,48276993.78000006
86,19/03/2010,44988974.64000006
87,19/08/2011,46917347.61999986
88,19/10/2012,45122410.57000012
89,19/11/2010,45125584.18000006
90,20/01/2012,42080996.56000003
91,20/04/2012,45072529.780000016
92,20/05/2011,44046598.01000008
93,20/07/2012,46059543.450000085
94,20/08/2010,47060952.919999994
95,21/01/2011,40654648.029999994
96,21/05/2010,45120108.05999994
97,21/09/2012,44354547.1100001
98,21/10/2011,45818953.43999992
99,22/04/2011,48676692.05999989
100,22/06/2012,47668284.96999992
101,22/07/2011,45274411.39000012
102,22/10/2010,43066669.51999998
103,23/03/2012,44993794.45000002
104,23/04/2010,44734452.56000002
105,23/07/2010,44888849.109999955
106,23/09/2011,42718096.7299999
107,23/12/2011,76998241.30999984
108,24/02/2012,45771506.56999987
109,24/06/2011,45884094.579999946
110,24/08/2012,47447323.60000003
111,24/09/2010,41358514.41000003
112,24/12/2010,80931415.60000007
113,25/02/2011,44125859.84000007
114,25/03/2011,42876199.18000005
115,25/05/2012,47892463.30999993
116,25/06/2010,46609036.29000002
117,25/11/2011,66593605.25999993
118,26/02/2010,43968571.12999993
119,26/03/2010,44133961.050000034
120,26/08/2011,47416948.45000011
121,26/10/2012,45544116.290000014
122,26/11/2010,65821003.240000084
123,27/01/2012,39834974.670000054
124,27/04/2012,43716798.88999998
125,27/05/2011,45293457.03999987
126,27/07/2012,44097154.970000006
127,27/08/2010,45909740.44000011
128,28/01/2011,39599852.990000054
129,28/05/2010,47757502.56000001
130,28/09/2012,43734899.40000004
131,28/10/2011,45855821.05000005
132,29/04/2011,43530032.77999999
133,29/06/2012,46597112.12000013
134,29/07/2011,43683274.27999995
135,29/10/2010,43602830.94999994
136,30/03/2012,45272862.01999999
137,30/04/2010,43705126.709999874
138,30/07/2010,44630363.41999992
139,30/09/2011,42195830.80999997
140,30/12/2011,46042461.03999984
141,31/08/2012,47159639.42999998
142,31/12/2010,40432519.000000075
